rank,gender,gender_dist_raw_html,forename_URL,name,incidence,frequency,Definition,approximate_usage,most_prevalent,highest_density,world_most_common_rank
21,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/yusuf,Yusuf,"829,523",1:214,"Yusuf (Arabic: يوسف‎ Yūsuf and Yūsif) is a male Arabic and Aramaic name, meaning 'God increases' (in piety, power and influence) in Hebrew. Its widely used by Persians and Arabs.","1,851,562",Nigeria,Northern Cyprus,344th 
22,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ali,Ali,"814,082",1:218,"Ali (Pronunciation; Arabic: [ˈʕalijj], Persian: [ʔæˈliː], Turkish: [ˈali], Urdu: [ʔəˈliː], Finnish: [ɑli]) (Arabic: علي‎, ʿAlī) is a male Arabic name derived from the Arabic root ʕ-l-w, which literally means 'high', 'elevated' or 'champion'.","14,763,733",Iran,Comoros,11th 
23,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/samuel,Samuel,"800,334",1:222,"A male name. Hebrew ‘name of God’ or ‘heard of God’, the name of one of the greatest of the Hebrew prophets, who anointed Saul as first king of Israel. Samuel was rare as a christian name in the Middle Ages, though examples occur in 13th-C records, and the surnames Samuel, Samwell occur as early as 1273.","5,008,096",Nigeria,Eritrea,69th 
24,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/aminu,Aminu,"771,079",1:230,,"787,110",Nigeria,Nigeria,"1,196th "
25,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/grace,Grace,"765,275",1:232,"A female name. Latin gratia ‘grace’. Gracia, Grecia, Gricia occur as a woman’s name in Latin records of the 13 th and 14th C and possibly represent this name, though they may be a latinization of some name derived from Old German grisja ‘grey’.","3,200,272",Nigeria,Palau,148th 
26,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/joseph,Joseph,"717,559",1:247,"A male name. Hebrew ‘increaser’; the Greek form was Joses. The name was a favourite in post-exilic Israel; in the New Testament, for instance, there are Joseph of Nazareth the husband of the Blessed Virgin, Joseph of Arimathea, Joses brother of James, and Joses surnamed Barnabas.","8,630,833",United States,Dominica,29th 
27,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/hassan,Hassan,"678,525",1:262,Arabic (masculine) - Handsome.,"5,516,904",Iran,Syria,60th 
28,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/amina,Amina,"631,363",1:281,Arabic (feminine) - Faithful.,"3,274,649",Nigeria,Djibouti,140th 
29,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/haruna,Haruna,"630,349",1:282,,"726,142",Nigeria,Nigeria,"1,316th "
30,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/salisu,Salisu,"596,970",1:297,,"600,380",Nigeria,Nigeria,"1,654th "
31,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/peter,Peter,"581,165",1:306,"A male name. (Latin Petrus, French Pierre, Italian Piero, Pietro, Spanish Pedro, German Peter, Du Pieter, Norw Peer, Russian Pyotr): Greek πέτρος ‘stone’, a translation of Aramaic Cephas, the name given by Jesus to Simon s. of Jonas. St Peter appealed to the imagination of the medieval Church more than any other of the apostles (there are 1,140 churches dedicated to him in England, more than twice as many as to St Michael, the next commonest); and his name was one of the commonest christian names in every country.","7,469,320",Germany,Slovakia,39th 
32,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/bello,Bello,"570,506",1:311,,"614,563",Nigeria,Nigeria,"1,610th "
33,98%,"<div class=""m"" style=""width:98px;"">98%</div>",https://forebears.io/forenames/garba,Garba,"563,202",1:315,,"640,752",Nigeria,Nigeria,"1,531st "
34,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/zainab,Zainab,"544,793",1:326,,"2,416,759",Pakistan,Iraq,231st 
35,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/maryam,Maryam,"542,104",1:328,"Meryem (Pronunciation:[mæɾˈjæm]) is a feminine Turkish given name. It is the Turkish form of Maryam, and is the name used in Turkey to refer to Mary, the mother of Jesus.","3,377,525",Iran,Iran,131st 
36,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/joy,Joy,"541,850",1:328,"A female name. Joia is found as a christian name as early as 1199 and occurs from time to time in the 13th C. It looks like the ordinary word joy used as a christian name. It then died out, but was revived at the end of the 19th C and is now fairly common.","1,461,703",Nigeria,Laos,512th 
37,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/victoria,Victoria,"537,858",1:330,"A female name. Latin victoria ‘victory'. Several examples of this name are said to occur in the Liverpool area 1617-1702, but it is not otherwise recorded as a christian name in England before the 19th C. Queen Victoria (who was christened Alexandria Victoria) was named after her German mother, whose names were Maria Louisa Victoria.","2,626,923",Nigeria,Sierra Leone,206th 
38,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/kabiru,Kabiru,"515,181",1:345,"
Kabiru is a Hausa variant of the Arabic name Kabir, meaning 'grand', 'large'.
","519,214",Nigeria,Nigeria,"1,946th "
39,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/elizabeth,Elizabeth,"514,373",1:345,"A female name. Hebrew Elisheba, ‘God is swearer’, or ‘God has sworn’, the name of the wife of Aaron and of the mother of St John the Baptist. The Greek form of the name was ’Ελίσαβετ, the Latin Elizabetha; in England the spelling with a z has been usual, on the Continent that with an s.","6,028,529",United States,Micronesia,56th 
40,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/isa,Isa,"504,047",1:352,"A female name. Charlotte Mary Yonge, History of ChristianNames, 2 vols. 1863. Revised ed. 1884 says of this ‘Isa is an old German feminine revived by a poetess of our own day’. I have not been able to identify the poetess, and it is not clear whether the remark means that Isa was her own name or one used in her poems.","967,470",Nigeria,Nigeria,933rd 
41,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/hadiza,Hadiza,"485,623",1:366,"
Kabiru is a variant on the name Khadija, which means 'child born prematurely' in Arabic. This was the name of the principal wife of the Prophet Muhammad.
","756,331",Nigeria,Niger,"1,249th "
42,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/idris,Idris,"483,624",1:367,"A Greek name, meaning: Skillful.","791,369",Nigeria,Nigeria,"1,193rd "
43,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/mercy,Mercy,"482,085",1:368,"A female name. came into use as a christian name in the 17th C along with other similar names, e.g. Faith, Hope, Charity, &c.","1,483,998",Nigeria,Kenya,497th 
44,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/isah,Isah,"476,435",1:373,,"540,957",Nigeria,Nigeria,"1,846th "
45,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/yahaya,Yahaya,"473,534",1:375,,"600,775",Nigeria,Niger,"1,650th "
46,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/hauwa,Hauwa,"470,364",1:378,,"471,257",Nigeria,Nigeria,"2,152nd "
47,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/david,David,"465,066",1:382,"A male name. Hebrew ‘beloved’. One of the first bearers of this name in Britain was David or Dewi, Archbishop of Menevia (d. 601), later canonized and the patron saint of Wales. From his time the name has been a favourite one in Wales. In Scotland it wa3 the name of two kings, David I 1084-153, and David II 1324-71, and has also always been common.","13,429,576",United States,Palau,13th 
48,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/daniel,Daniel,"453,661",1:391,"A male name. Hebrew ‘The Lord is Judge’. Daniel is found in England before the Norman Conquest, but only as the name of monks or bishops. Its use as an ordinary christian name seems to have begun in the 12th C and it became common in the 13th and 14th C, giving rise to the surnames Daniel, Daniels, Dann, Dannson, Dannet (Lyford 1655 gives Dannet as a diminutive of Daniel).","10,026,181",United States,Vatican City,24th 
49,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ngozi,Ngozi,"447,676",1:397,,"453,360",Nigeria,Nigeria,"2,248th "
50,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/yakubu,Yakubu,"442,648",1:401,,"476,877",Nigeria,Nigeria,"2,121st "
51,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ahmed,Ahmed,"441,368",1:402,An Arabic name that can mean 'one who thanks God' or 'thankful one'.,"14,916,476",Egypt,Maldives,9th 
52,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/patience,Patience,"435,934",1:407,"A female name. like other abstract nouns, came into use as a christian name in the 17th C, e.g Sir Thomas Carew, Speaker of the House of Commons in the reigns of James I and Charles I, had four dd. named Patience, Temperance, Silence, and Prudence.","822,071",Nigeria,Liberia,"1,135th "
53,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/moses,Moses,"433,530",1:410,A male name. the etymology of this name is obscure; it has been suggested that it is Egyptian rather than Hebrew and signified ‘saved by water’. It became a favourite Jewish name after he dispersion. In Middle English it appears as Moyse or Moyses (cf.,"1,897,658",Uganda,Uganda,331st 
54, ,"<div class=""m"" style=""width:46px;"">&nbsp;</div>",https://forebears.io/forenames/taiwo,Taiwo,"427,849",1:415,,"434,850",Nigeria,Nigeria,"2,347th "
55,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/james,James,"426,899",1:416,"A male name. for the development of James from Jacobus and its etymology, see under Jacob and Jacoba. Jame or James is found side by side with Jacques in Old French, the one being from Jacomus, the other from Jacobus, and it was Jame or James which took root in England where it is not recorded for about a century after the Norman Conquest.","8,807,695",United States,Tuvalu,27th 
56, ,"<div class=""m"" style=""width:41px;"">&nbsp;</div>",https://forebears.io/forenames/kehinde,Kehinde,"411,381",1:432,,"417,099",Nigeria,Nigeria,"2,465th "
57,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/rabiu,Rabiu,"410,324",1:433,,"411,190",Nigeria,Nigeria,"2,507th "
58,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/victor,Victor,"409,838",1:433,"A male name. Latin victor ‘conqueror’, the name of an early pope and of several martyrs. Victor is found in Curia Regis Rolfs of 1200 and 1203 and a single example has been noted in 1585, but its use in the Middle Ages was evidently rare, and its modern use in France seems to date from the Revolution.","5,388,146",Mexico,Moldova,63rd 
59,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/mustapha,Mustapha,"406,742",1:437,"It is an Arabic name, which means 'selected and chosen'.","1,093,855",Nigeria,Gambia,787th 
60,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/friday,Friday,"406,246",1:437,,"453,689",Nigeria,Nigeria,"2,244th "
61,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/shehu,Shehu,"404,762",1:439,,"407,866",Nigeria,Nigeria,"2,527th "
62,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/nura,Nura,"396,819",1:447,"A feminine form of the Arabic name نور (Nur). The name means 'bright, full of light'. In Islam, النور (al-Nur) is one of the 99 names of Allah.","509,542",Nigeria,Nigeria,"1,985th "
63,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/bala,Bala,"395,844",1:449,,"871,727",Nigeria,Nepal,"1,072nd "
64,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/comfort,Comfort,"388,356",1:457,"(m., f.) occasionally used as a christian name after the Reformation. A Comfort Dormer occurs in Bucks as recently as 1850.","510,430",Nigeria,Liberia,"1,983rd "
65,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/lawal,Lawal,"388,069",1:458,,"392,786",Nigeria,Nigeria,"2,636th "
66,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/godwin,Godwin,"379,522",1:468,"[Godwin, Goodwin, Godwin, Godden, Goodden, Godding, Godin, Goding, Goduin, Goduine, Godeuuin] (m.) Old English Godwine, compound of God and wine ‘friend’; one of the commonest of Old English names. It survived the Conquest and its popularity is attested by the number of surnames formed from it, e.","539,119",Nigeria,Nigeria,"1,855th "
67,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/emeka,Emeka,"367,112",1:484,,"375,373",Nigeria,Nigeria,"2,772nd "
68,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/monday,Monday,"365,087",1:486,"A female name. used as a christian name in the Middle Ages for children born on a Monday; Friday and Saturday were similarly used, cf. the surnames Monday, Munday, Mundy.","380,719",Nigeria,Nigeria,"2,727th "
69,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/paul,Paul,"345,764",1:514,"A male name. Latin paulus ‘small’, the name of Saul of Tarsus after his conversion. Paul occurs in England before the Norman Conquest only as a monk’s name. St Paul was not an object of particular devotion in the Middle Ages; of 326 English churches dedicated to him, 283 are double dedications to SS Peter and Paul, and of the 43 remaining ones, some at least were originally to the Celtic St Pol or to St Paulinus.","6,916,349",United States,Guernsey,45th 
70,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/ahmad,Ahmad,"338,440",1:525,"Ahmad or Ahmed originated from Mohammad, which means 'to be praised'. Ahmad means 'the highly praised'.","4,373,092",Indonesia,Malaysia,83rd 
71,98%,"<div class=""m"" style=""width:98px;"">98%</div>",https://forebears.io/forenames/ifeanyi,Ifeanyi,"337,526",1:526,,"341,215",Nigeria,Nigeria,"3,058th "
72,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/michael,Michael,"334,386",1:531,"A male name. Hebrew ‘Who is like unto the Lord?’ The name of one of the archangels, the leader of the heavenly host, and hence the patron of the christian warrior. St Michael and All Angels is one of the commonest church dedications (there are 687 in England and Wales) and the name was a favourite one from the 12th C onwards, giving rise to a number of surnames, such as Michell, Mitchell, Mitchelson, Mitchison, which show that the common pronunciation was like that of the French Michel.","11,471,765",United States,Tuvalu,18th 
73,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/nasiru,Nasiru,"333,596",1:532,,"337,517",Nigeria,Nigeria,"3,088th "
74,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/anthony,Anthony,"330,343",1:538,"A male name. . (Latin Antonius French Antoine, Italian Antonio, German Anton, Antonius, Slavonic Anton); the name of a Roman gens, the most famous member of which was ‘Mark Antony’, the triumvir Marcus Antonius. The etymology is unknown. The later popularity of the name was due to St Antony the Great, the Egyptian ascetic, whose cult was diffused in the West at the time of the Crusades.","2,868,949",United States,Dominica,177th 
75,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/christiana,Christiana,"327,818",1:542,"A female name. f. of Latin christianus ‘christian’. The common noun and adjective christian are found in English only from the 16th C, after the Renaissance, the earlier word being the Old English christen. The name Christian, however, together with its Latin form Christiana (occ Christiania) are found from the end of the 12th C, and are rather commoner than Christine (q.","452,978",Nigeria,Sierra Leone,"2,250th "
76,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/aishatu,Aishatu,"318,276",1:558,,"319,879",Nigeria,Nigeria,"3,272nd "
77,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/saidu,Saidu,"307,737",1:577,,"347,375",Nigeria,Sierra Leone,"3,004th "
78,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abba,Abba,"307,417",1:578,"Ab'-bah, father. Syriac. Mark xiv. 36.","374,473",Nigeria,Nigeria,"2,780th "
79,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/dauda,Dauda,"303,269",1:586,,"335,853",Nigeria,Sierra Leone,"3,100th "
80,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/solomon,Solomon,"302,356",1:587,"A male name. Hebrew ('peaceable’, derivative of shalem 'peace’. Salamon was the usual medieval form of the name, which was not uncommon, and gave rise to the surnames Salaman, Salmon, Salmond, Sammon, Sammond, &c. The name died out about the beginning of the 14th C, but was revived by the Puritans in the 16th C.","1,060,197",Nigeria,Eritrea,823rd 
81,99%,"<div class=""m"" style=""width:99px;"">99%</div>",https://forebears.io/forenames/umaru,Umaru,"298,781",1:594,"
Umaru is a Hausa variant of the name Umar, meaning 'lively' or 'flourishing', derived from the Arabic عمر, meaning 'life'.
","343,949",Nigeria,Sierra Leone,"3,035th "
82,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/florence,Florence,"295,323",1:601,"A male name. Latin Florentius, from florens ‘blooming'. There was a 3rd-C Roman martyr named Florentius, and also a Gaulish saint whose relics were preserved at Saumur. The name also occurs in the Old French romances, and was not uncommon in England in the Middle Ages.","1,816,109",Uganda,Uganda,361st 
83,95%,"<div class=""m"" style=""width:95px;"">95%</div>",https://forebears.io/forenames/chinedu,Chinedu,"294,286",1:603,,"297,317",Nigeria,Nigeria,"3,530th "
84,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/halima,Halima,"291,454",1:609,"Halima is an Arabic female name, which means 'woman with a lot of patience'.","2,260,143",Bangladesh,Niger,255th 
85,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/felicia,Felicia,"290,789",1:611,"A female name. the history of this name is much confused with that of Phyllis (q.v.). There was a St Felicia of Nicomedia of unknown date, and the name, which is a f. form of Felicius, a 3rd-C derivative of Felix (q.v.), is found in use in England from the end of the 12th C.","671,122",Nigeria,Cuba,"1,458th "
86,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/sulaiman,Sulaiman,"290,296",1:612,,"716,178",Nigeria,Sierra Leone,"1,349th "
87,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/rose,Rose,"288,594",1:615,"A female name. although this name has, from a fairly early date, been identified with the flower-name and latinized as Rosa, it seems actually to be a derivative of hros or ros ‘horse’ (cf. Rosalind, Rosamund). It was introduced into England by the Normans in the form Roese, Rohese (Latin Roesia, Rohesia), which became Royse (latinized as Roysia) and Rose in Middle English (cf.","2,850,867",Uganda,Solomon Islands,181st 
88,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/helen,Helen,"288,328",1:616,"A female name. Greek ‘Ελένη, f. of 'Ελενος ‘the bright one’. The wide diffusion of the name is not owing to the fame of the fateful queen of Menelaus, but to Helena (d. a.d. 338), the mother of the Emperor Constantine. Many legends were early attached to her name, such as that of her discovery of the true cross.","2,125,000",United States,Eritrea,285th 
89,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ruth,Ruth,"280,922",1:632,A female name. a Hebrew name of doubtful etymology. First used as a christian name in England after the Reformation. Ruthe Evans 1589 is the earliest example noted.,"3,343,758",United States,Congo,133rd 
90,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/charity,Charity,"276,046",1:643,"A female name. Old French charité, from Latin caritatem. Like other names of abstract qualities this came into use as a christian name after the Reformation, and was fairly common in the 17th C. Faith, Hope, and Charity were sometimes given as names to triplets.","667,558",Nigeria,Zambia,"1,465th "
91,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/bashir,Bashir,"274,774",1:646,,"1,323,336",Pakistan,Yemen,589th 
92, ,"<div class=""m"" style=""width:3px;"">&nbsp;</div>",https://forebears.io/forenames/rabi,Rabi,"273,143",1:650,,"717,253",Nigeria,Niger,"1,344th "
93,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/chinyere,Chinyere,"271,892",1:653,,"274,631",Nigeria,Nigeria,"3,828th "
94,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/micheal,Micheal,"270,373",1:657,,"679,279",Nigeria,Uganda,"1,433rd "
95,72%,"<div class=""m"" style=""width:72px;"">72%</div>",https://forebears.io/forenames/abiodun,Abiodun,"268,272",1:662,,"274,063",Nigeria,Nigeria,"3,834th "
96,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/francis,Francis,"263,605",1:674,"A male name. Latin Franciscus ‘a Frenchman’ (French François, Italian Francesco, Spanish Francisco, German Franz). The widespread popularity of this name is undoubtedly due to St Francis of Assisi (1182-1226), whose original name was Giovanni, Francesco being a nickname said to have been bestowed on him on account of his fluency in the French tongue.","3,278,211",France,Saint Barthelemy,139th 
97,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/janet,Janet,"262,033",1:678,"A female name. a diminutive of Jane (q.v.). Janeta is not uncommon in medieval records. It is now chiefly used in Scotland and is generally given as an independent name. Jonet and Jennet were other diminutive, from Jone and Jeanne. Jennet is found as late as 1660, and Lyford (1665) gives ‘Jennet diminutive from Jeane'.","2,189,139",United States,Solomon Islands,266th 
98,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/glory,Glory,"261,162",1:680,See the preceding.,"393,783",Nigeria,Nigeria,"2,627th "
99,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/christopher,Christopher,"257,738",1:689,"A male name. (Latin Christopherus, French Christophe, Italian Cristoforo, Spanish Cristoval, Cristobal, German Christoph): Greek Χριστοφόρος, ‘bearing Christ’. It was originally a word applied by Christians to themselves, meaning that they bore Christ in their hearts; but in time there arose a legend of a gigantic saint who carried the Christ-child across a river, and Christopher became an ordinary christian name.","3,026,165",United States,Niue,163rd 
